station,time,rsum
16800,2020-01-01,5.0
16800,2020-02-01,25.0
16800,2020-03-01,20.0
16800,2020-04-01,32.0
16800,2020-05-01,55.0
16800,2020-06-01,130.0
16800,2020-07-01,138.0
16800,2020-08-01,164.0
16800,2020-09-01,93.0
16800,2020-10-01,106.0
16800,2020-11-01,6.0
16800,2020-12-01,55.0
