station,time,nied
16800,2021-07-12,-1.0
16800,2021-07-13,0.5
16800,2021-07-14,0.8
16800,2021-07-15,-1.0
16800,2021-07-16,11.1
16800,2021-07-17,10.4
16800,2021-07-18,0.4
16800,2021-07-19,-1.0
16800,2021-07-20,-1.0
16800,2021-07-21,-1.0
16800,2021-07-22,-1.0
16800,2021-07-23,-1.0
16800,2021-07-24,2.2
16800,2021-07-25,-1.0
16800,2021-07-26,-1.0
16800,2021-07-27,-1.0
16800,2021-07-28,2.0
16800,2021-07-29,-1.0
16800,2021-07-30,4.0
16800,2021-07-31,9.2
16800,2021-08-01,16.1
16800,2021-08-02,0.1
16800,2021-08-03,0.5
16800,2021-08-04,5.4
16800,2021-08-05,3.4
16800,2021-08-06,0.8
16800,2021-08-07,-1.0
16800,2021-08-08,0.1
16800,2021-08-09,-1.0
16800,2021-08-10,-1.0
16800,2021-08-11,8.0
16800,2021-08-12,-1.0
16800,2021-08-13,1.1
16800,2021-08-14,0.7
16800,2021-08-15,13.2
16800,2021-08-16,19.7
16800,2021-08-17,0.0
16800,2021-08-18,0.1
16800,2021-08-19,-1.0
16800,2021-08-20,-1.0
16800,2021-08-21,-1.0
16800,2021-08-22,15.6
16800,2021-08-23,2.3
16800,2021-08-24,0.0
16800,2021-08-25,-1.0
16800,2021-08-26,6.0
16800,2021-08-27,0.3
16800,2021-08-28,4.7
16800,2021-08-29,-1.0
16800,2021-08-30,0.0
16800,2021-08-31,0.8
16800,2021-09-01,-1.0
16800,2021-09-02,-1.0
16800,2021-09-03,-1.0
16800,2021-09-04,-1.0
16800,2021-09-05,-1.0
16800,2021-09-06,-1.0
16800,2021-09-07,-1.0
16800,2021-09-08,-1.0
16800,2021-09-09,-1.0
16800,2021-09-10,-1.0
16800,2021-09-11,-1.0
16800,2021-09-12,-1.0
16800,2021-09-13,-1.0
16800,2021-09-14,-1.0
16800,2021-09-15,0.0
16800,2021-09-16,4.7
16800,2021-09-17,3.1
16800,2021-09-18,-1.0
16800,2021-09-19,4.8
16800,2021-09-20,0.0
16800,2021-09-21,-1.0
16800,2021-09-22,1.1
